pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3764844723472286899,DQ_alQ5EcSz,https://www.instagram.com/p/DQ_alQ5EcSz/,reel,video,,2025-11-13T09:01:57Z,2025-11-13,20:01,Thursday,2025-W46,2025-11,475,15,104,31,8850,135,0.0153,No excuses when it comes to MoMu x DES EOX 🤫 🔥See you all there!! 🥳💥  📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕦 Entry 10:00pm - 11:30pm 💸 $20 off ! USE CODE ‘MoMU’ or ‘DES’ 🎟️ Early Bird $45 | Regular $50 🍸FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne#eox #studentlife #melbourneuni
3765566978133185708,DRB-zc9kdSs,https://www.instagram.com/p/DRB-zc9kdSs/,reel,video,,2025-11-14T09:00:03Z,2025-11-14,20:00,Friday,2025-W46,2025-11,197,12,149,46,7522,195,0.0259,Uni couples acting like they’re in a Netflix original.  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3767035574797539960,DRHMuWMERp4,https://www.instagram.com/p/DRHMuWMERp4/,reel,video,,2025-11-16T09:34:49Z,2025-11-16,20:34,Sunday,2025-W46,2025-11,416,12,102,20,8654,122,0.0141,"5 days left till MoMU x DES EOX… Melbourne, get ready 😤🔥  📍 District 1 Melbourne 📅 21/11/2025 (Friday) ⏰ Entry 10:00pm – 11:30pm 💸 $20 OFF with code ‘MoMU’ or ‘DES’ 🎟️ Early Bird $45 | Regular $50 🍸 FREE welcome drink (before 10:30pm!) 🔗 Link in bio — secure your spot now!  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne"
3769196024615983562,DRO39B4DNnK,https://www.instagram.com/p/DRO39B4DNnK/,reel,video,,2025-11-19T09:06:57Z,2025-11-19,20:06,Wednesday,2025-W47,2025-11,457,12,78,15,6495,93,0.0143,"🚨D-2 DAYS UNTIL EOX and we’re dueling over who’s combo is better, cause if we don’t match at EOX, what’s the POINT?!   📌 District 1 Melbourne 📆 Party with us on 21/11/2025 🕦 Entry 10:00pm - 11:30pm 🎟️ $25! USE CODE ‘MoMU’ or ‘DES’ 🍸FREE WELCOME DRINK (arrival before 10:30pm) 🔗 Link in BIO to grab your ticket now!  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne"
3774266526758038317,DRg42i_D2st,https://www.instagram.com/p/DRg42i_D2st/,reel,video,,2025-11-26T09:00:57Z,2025-11-26,20:00,Wednesday,2025-W48,2025-11,169,12,302,30,8618,332,0.0385,this feeling when 🤩🤩🤩 >>>   #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3779430404634811753,DRzO-3BkZ1p,https://www.instagram.com/p/DRzO-3BkZ1p/,reel,video,,2025-12-03T12:00:00Z,2025-12-03,23:00,Wednesday,2025-W49,2025-12,61,3,61,16,5315,77,0.0145,Stress? Not on MOMU’s watch 🧹😮‍💨 #unimelb #student #relatable
3784473452682885292,DSFJo3hDzis,https://www.instagram.com/p/DSFJo3hDzis/,reel,video,,2025-12-10T11:00:45Z,2025-12-10,22:00,Wednesday,2025-W50,2025-12,71,3,107,32,7235,139,0.0192,Anything for a fellow momuian in need 🐺🤜💥  #unimelb #student #relatable
3787372560582130650,DSPc0cJjzva,https://www.instagram.com/p/DSPc0cJjzva/,reel,video,,2025-12-14T11:00:59Z,2025-12-14,22:00,Sunday,2025-W50,2025-12,233,12,87,14,4246,101,0.0238,Bored in Melbourne? Try some of these MoMU-approved activities to fill up your summer! 😄☀️  #unimelb #student #relatable #university #momuians #lifeatunimelb #uni #universityofmelbourne #unilife #studyinmelbourne #malaysia #melbourne
3789546862291136147,DSXLMsajy6T,https://www.instagram.com/p/DSXLMsajy6T/,reel,video,,2025-12-17T11:00:00Z,2025-12-17,22:00,Wednesday,2025-W51,2025-12,51,3,101,9,9198,110,0.012,but they’re girlies 😻  #unimelb #student #relatable
3790997123605978173,DScU8xhD9w9,https://www.instagram.com/p/DScU8xhD9w9/,reel,video,,2025-12-19T11:02:35Z,2025-12-19,22:02,Friday,2025-W51,2025-12,167,5,127,10,5568,137,0.0246,Finally back from Melbourne? Malaysia’s just as fun! Here are some activities you can do while you’re back home ☺️   #unimelb #student #relatable #university #momuians
3793895758924683341,DSmoBeBkRhN,https://www.instagram.com/p/DSmoBeBkRhN/,reel,video,,2025-12-23T11:00:00Z,2025-12-23,22:00,Tuesday,2025-W52,2025-12,46,3,81,13,7301,94,0.0129,oh she serious 🫢  #unimelb #student #relatable
3795141561861247761,DSrDSSbD5MR,https://www.instagram.com/p/DSrDSSbD5MR/,post,image,,2025-12-25T04:15:51Z,2025-12-25,15:15,Thursday,2025-W52,2025-12,132,3,39,7,,46,,"From our MoMU family to yours, Merry Christmas.🎄❤️ Thank you for being part of an unforgettable year! ✨  #malaysia #unimelb #student"
3798969152518980479,DS4plEAj4N_,https://www.instagram.com/p/DS4plEAj4N_/,reel,video,,2025-12-30T11:00:57Z,2025-12-30,22:00,Tuesday,2026-W01,2025-12,81,5,90,16,7130,106,0.0149,nothing is breaking us up 😤😤   #unimelb #student #relatable #university #momuians
3805492318666065551,DTP0xn5kYaP,https://www.instagram.com/p/DTP0xn5kYaP/,reel,video,,2026-01-08T11:01:42Z,2026-01-08,22:01,Thursday,2026-W02,2026-01,107,5,103,10,9729,113,0.0116,When your mouth forgets how to be human for 3 seconds 😭  #unimelb #student #relatable #university #momuians
3812045279009569766,DTnGvvzEfvm,https://www.instagram.com/p/DTnGvvzEfvm/,reel,video,,2026-01-17T12:00:00Z,2026-01-17,23:00,Saturday,2026-W03,2026-01,87,5,97,9,5830,106,0.0182,I swear it was just a coincidence 😭  #unimelb #student #relatable #university #momuians
3816363640572947338,DT2coLaESuK,https://www.instagram.com/p/DT2coLaESuK/,reel,video,,2026-01-23T11:00:00Z,2026-01-23,22:00,Friday,2026-W04,2026-01,70,4,271,11,18372,282,0.0153,They made a reel…  #unimelb #student #relatable # university #momuians
3822162741075847250,DULDMMnjyhS,https://www.instagram.com/p/DULDMMnjyhS/,reel,video,,2026-01-31T11:02:31Z,2026-01-31,22:02,Saturday,2026-W05,2026-01,183,5,94,7,3718,101,0.0272,2025 Momu Olympics THROWBACK TIME!!  Energy + talent on full display. Proof Momuians are just built different 😮‍💨💪🐯  #unimelb #momuians #universityofmelbourne #lifeatunimelb #olympics
3827960081657352474,DUfpWmxj9Ea,https://www.instagram.com/p/DUfpWmxj9Ea/,post,image,,2026-02-08T11:00:00Z,2026-02-08,22:00,Sunday,2026-W06,2026-02,666,4,79,13,,92,,"Semester starting? Stress later 🚀  MoMU is bringing everyone back together for our Start of Semester Party, and your name is on the list!   📍District 1 (113 Queen St, Melbourne VIC 3000) 📆 6 March 2026 🕚 Entry 9:00pm - 10:30pm (9-10 exclusively for MoMU only)❗️ENTER BEFORE 10 FOR A FREE DRINK🍹❗️ 🎟️ Early Bird $25 | Regular $35 | VIP $40 (GET 2 FREE DRINKS + 1 WP SHOT) 💃 Dress code: Black and White  🖇️ Link in BIO to grab your ticket now !!   Come meet new faces and catch up with friends as we start the semester strong 🔥  P.S. there’s gonna be FREE FOOD & unbeatable vibes as we start the semester together !! 🍕🍕  #unimelb #district1 #startofsemesterparty #momu"
3830132537327341634,DUnXT_yD9BC,https://www.instagram.com/p/DUnXT_yD9BC/,reel,video,,2026-02-11T11:00:24Z,2026-02-11,22:00,Wednesday,2026-W07,2026-02,460,5,75,10,6619,85,0.0128,"We should all go workout at the SOS party on the 6th of March 2026 at District 1! 🤩😝   📍District 1 (113 Queen St, Melbourne VIC 3000) 📆 6 March 2026 🕚 Entry 9:00pm - 10:30pm (9-10 exclusively for MoMU only)❗️ENTER BEFORE 10 FOR A FREE DRINK🍹❗️ 🎟️ Early Bird $25 | Regular $35 | VIP $40 (GET 2 FREE DRINKS + 1 WET PUSSY SHOT) 💃 Dress code: Black and White  🖇️ Link in BIO to grab your ticket now !!   #unimelb #district1 #startofsemesterparty #momuians #student"
3832262957036804635,DUu7trwERob,https://www.instagram.com/p/DUu7trwERob/,post,image,,2026-02-14T09:29:33Z,2026-02-14,20:29,Saturday,2026-W07,2026-02,772,5,91,28,,119,,"Think you've got what it takes? 🕵‍♂️🕵‍♀️  Gather your team and dive into ALAMAK ADVENTURES 😱, a fun-filled treasure hunt packed with twists, laughs and prizes 🗺✨️New to Melbourne⁉️ Meet your fellow MoMUians and create fresh new friendships and memories together🔥  ⚠️ Important:  ✔️ Be prepared for physical/outdoor activities  ✔️ Wear activewear & closed shoes ✔️ Bring extra clothes if you don’t want to stay sweaty  💰 $8 for members | $12 for non-members  📍Unimelb Building 189 (Market Hall) G01 & G02 📆 8 March 🕑 12:30-5PM 🔗 Link in bio to sign up !  Tag your teammates and get ready to shout Alamak! 🤑🤑🤑Refreshments provided‼️‼️‼️   WORK HARD PLAY HARD💪 The winning team will have a chance at scoring AMAZING PRIZES 🏆  #unimelb #student #relatable #university #momuian"
3832976318439473911,DUxd6dVEcL3,https://www.instagram.com/p/DUxd6dVEcL3/,reel,video,,2026-02-15T09:09:43Z,2026-02-15,20:09,Sunday,2026-W07,2026-02,305,5,63,21,4064,84,0.0207,A mystery has appeared on campus... 👀  Will you be the one to crack the case at ALAMAK ADVENTURE and claim the prize?😱  📍Unimelb Building 189 (Market Hall) G01 & G02 📆 8.3.2026 🕑 12.30-5pm  💰 $8 for members | $12 for non-members  Link in bio to sign up!  #unimelb #student #relatable #university #momuians
3834181282662675931,DU1v4_tj3Xb,https://www.instagram.com/p/DU1v4_tj3Xb/,post,image,,2026-02-17T01:00:00Z,2026-02-17,12:00,Tuesday,2026-W08,2026-02,297,5,67,8,,75,,MoMU wishes you a Happy Chinese New Year 🧧 🧨 We hope the new year brings you and your family a prosperous and fulfilling year ahead !! Spend a blessed week with your family and friends as we wait to see each of you back in Melbourne soon !! 🎆  #momu #lunarnewyear #chinesenewyear #student #unimelb
3835147013902666529,DU5LePBEYsh,https://www.instagram.com/p/DU5LePBEYsh/,reel,video,,2026-02-18T08:59:56Z,2026-02-18,19:59,Wednesday,2026-W08,2026-02,122,5,77,9,4294,86,0.02,Praying for everyone in this position rn 🙏🙏  #unimelb #lifeatunimelb #studentlife #universityofmelbourne #studyinmelbourne
3835893313166245818,DU71KUXkf-6,https://www.instagram.com/p/DU71KUXkf-6/,reel,video,,2026-02-19T09:46:57Z,2026-02-19,20:46,Thursday,2026-W08,2026-02,75,5,59,12,3753,71,0.0189,There are no excuses!!!  #unimelb #student #relatable #university #momuians
3836603845519175396,DU-Wt7MEW7k,https://www.instagram.com/p/DU-Wt7MEW7k/,post,image,,2026-02-20T09:14:40Z,2026-02-20,20:14,Friday,2026-W08,2026-02,661,5,62,14,,76,,"🔥🌴 CAMPUS JUST GOT LOUDER 🌴🔥  Sun’s out and we’re bringing all the summer vibes to campus during O-Week 😎✨ Come find us at our MoMU Summer Fest booth for chill chats, friendly faces, and a chance to get to know what MoMU is all about 💚 Whether you’re brand new or just browsing, swing by to hang out, ask questions, learn how to become a member, and see how you can get involved 👀🌺  📍 Dates & Locations: ⏰ 11am – 3pm (all days) 🟠 24 Feb (Tue) – Market Hall 🟡 25 Feb (Wed) – South Lawn 🟢 26 Feb (Thu) – South Lawn  Bring your friends along and soak up the good energy. We can’t wait to meet you 💥  #student #unimelb #orientationweek #studyinmelbourne #summerfest"
3837322404738215138,DVA6GVnEazi,https://www.instagram.com/p/DVA6GVnEazi/,reel,video,,2026-02-21T09:01:51Z,2026-02-21,20:01,Saturday,2026-W08,2026-02,402,5,84,19,4888,103,0.0211,Don’t be like him 🫵🏻 Join us at MoMU’s ALAMAK ADVENTURE   ⚠️ Important:  ✔️ Be prepared for physical/outdoor activities  ✔️ Wear activewear & closed shoes ✔️ Bring extra clothes if you don’t want to stay sweaty  💰 $8 for members | $12 for non-members  📍Unimelb Building 189 (Market Hall) G01 & G02 📆 8 March 🕑 12:30-5PM 🔗 Link in bio to sign up !  #unimelb #studentlife #momuians #relatable #university
3838771240895458662,DVGDhrbjy1m,https://www.instagram.com/p/DVGDhrbjy1m/,reel,video,,2026-02-23T09:00:00Z,2026-02-23,20:00,Monday,2026-W09,2026-02,88,5,78,16,5222,94,0.018,goldfish attention span  #unimelb #momuians #universityofmelbourne #studentlife #unilife
3838786084294165770,DVGG5rbEQUK,https://www.instagram.com/p/DVGG5rbEQUK/,post,carousel,4,2026-02-23T09:29:43Z,2026-02-23,20:29,Monday,2026-W09,2026-02,302,5,69,4,,73,,Collect. Stamp. Repeat. 🎟️🌺  Why just attend when you can get rewarded for it? Bring your loyalty card to every event and let the stamps stack up ! 6 stamps = FREE membership next year 👀  🔗 Link in Bio to sign up for your membership ! 💥  #loyaltyprogram #students #unimelb #studyinmelbourne #membership
3839497090075004829,DVIokLKEQ-d,https://www.instagram.com/p/DVIokLKEQ-d/,reel,video,,2026-02-24T09:02:29Z,2026-02-24,20:02,Tuesday,2026-W09,2026-02,119,5,71,16,3844,87,0.0226,Want one? Swing by our O-Week stand to cop yours 🔥🔥🔥  #unimelb #momuians #universityofmelbourne #unilife #lifeatunimelb
3839497315644717321,DVIondPEbkJ,https://www.instagram.com/p/DVIondPEbkJ/,reel,video,,2026-02-24T09:03:06Z,2026-02-24,20:03,Tuesday,2026-W09,2026-02,184,5,87,14,4883,101,0.0207,Hear what some Momuians have to say 👀 We can’t wait to meet more of you at our O-Week booth tomorrow + the day after!  #unimelb #momuians #universityofmelbourne #unilife #lifeatunimelb
3840221846680178345,DVLNWxWEQ6p,https://www.instagram.com/p/DVLNWxWEQ6p/,reel,video,,2026-02-25T09:03:24Z,2026-02-25,20:03,Wednesday,2026-W09,2026-02,374,5,92,19,6749,111,0.0164,Be there! Or be square! 🫵🏻❗️  ⚠️ Important:  ✔️ Be prepared for physical/outdoor activities  ✔️ Wear activewear & closed shoes ✔️ Bring extra clothes if you don’t want to stay sweaty  💰 $8 for members | $12 for non-members  📍Unimelb Building 189 (Market Hall) G01 & G02 📆 8 March 🕑 12:30-5PM 🔗 Link in bio to sign up !  #unimelb #studentlife #momuians #relatable #university
3840222920296219189,DVLNmZOkcI1,https://www.instagram.com/p/DVLNmZOkcI1/,reel,video,,2026-02-25T09:10:20Z,2026-02-25,20:10,Wednesday,2026-W09,2026-02,163,4,68,13,4378,81,0.0185,Get your MoMU membership now ‼️ Catch us tomorrow (25th Feb) at South Lawn 🇲🇾 Find your Malaysian family away from home 🫶  #unimelb #student #relatable #university
3840945635444205658,DVNx7SKPSha,https://www.instagram.com/p/DVNx7SKPSha/,reel,video,,2026-02-26T08:55:58Z,2026-02-26,19:55,Thursday,2026-W09,2026-02,414,5,97,33,6896,130,0.0189,"New semester, new energy 💃✨ See you at SOS 😉🔥   📍District 1 (113 Queen St, Melbourne VIC 3000) 📆 6 March 2026 🕚 Entry 9:00pm - 10:30pm (9-10 exclusively for MoMU only)❗️ENTER BEFORE 10 FOR A FREE DRINK🍹❗️ 🎟️ Early Bird $25 | Regular $35 | VIP $40 (GET 2 FREE DRINKS + 1 WP SHOT) 💃 Dress code: Black and White  🖇️ Link in BIO to grab your ticket now !!   #unimelb #district1 #startofsemesterparty #momuians #student"
3843059712347202490,DVVSnJtEeO6,https://www.instagram.com/p/DVVSnJtEeO6/,post,image,,2026-03-01T07:00:00Z,2026-03-01,18:00,Sunday,2026-W09,2026-03,741,5,106,16,,122,,"Raya vibes but make it a home away from home core 💚🏡🌺  Join us for a cozy evening filled with mingling, games, fun and of course…good food 😋 ! Whether you’re coming with friends or flying solo, it’ll be a night of meeting new faces and bonding !   What can you expect? 👀 💬 Casual socialising (with our colour-cup system, you can choose the vibe you’re going for !) 🎲 Fun games and trivia 🍰 Food, drinks and prizes to be won !  Can’t wait? Us too !! 📅 20 March 2026 ⏰ 5-8pm 📌 380 Melbourne, 7th Floor Common Room 🎟️ Members $5 | Non-members $8  Dress comfy !! P.S. green, white or pink is encouraged (but not essential 😉)  Come and celebrate Raya with us !! Link in BIO to get your tickets 🎟️   #openhouse #hariraya #unimelb #student #explore"
3843784341235648485,DVX3X48j0fl,https://www.instagram.com/p/DVX3X48j0fl/,reel,video,,2026-03-02T07:00:00Z,2026-03-02,18:00,Monday,2026-W10,2026-03,555,5,99,20,7244,119,0.0164,The FOMO always hits hard 💔   ⚠️ Important:  ✔️ Be prepared for physical/outdoor activities  ✔️ Wear activewear & closed shoes ✔️ Bring extra clothes if you don’t want to stay sweaty  💰 $8 for members | $12 for non-members  📍Unimelb Building 189 (Market Hall) G01 & G02 📆 8 March 🕑 12:30-5PM 🔗 Link in bio to sign up !  Refreshments provided and the winning team will have a chance at scoring PRIZES 🏆🤩  Make sure to grab your tickets while you still can!! Alamak Adventure is happening this week 😉  #unimelb #student #relatablevideos #university #momuian
3845067339503711397,DVcbF-MkzSl,https://www.instagram.com/p/DVcbF-MkzSl/,post,carousel,4,2026-03-04T01:29:27Z,2026-03-04,12:29,Wednesday,2026-W10,2026-03,285,5,72,16,,88,,"MoMU Officer Recruitment is officially OPEN 💙  If you love planning events, securing deals, creating content or designing creative graphics…WE WANT YOU !!   Closes 11:59PM, 10th March ⏰ Take the leap! Don’t say we didn’t tell you 🤩  #momu #student #studyinmelbourne #relatable #explore"
3846749031607570911,DViZd0BDBHf,https://www.instagram.com/p/DViZd0BDBHf/,reel,video,,2026-03-06T09:10:46Z,2026-03-06,20:10,Friday,2026-W10,2026-03,157,5,112,13,8828,125,0.0142,Legend has it they’re still there… 👀 Guess you’ll have to come to SOS tonight to find out.  #unimelb #momuians #universityofmelbourne #unilife #lifeatunimelb
